========================================================================================================================
STELLAR EVOLUTION TIMESTEPS
========================================================================================================================
M = 1.0 M_sun, target age = 1.000 Gyr, N_EVOLVE_BURN = 43
Each successful timestep is appended immediately.
========================================================================================================================

step        dt [s]     t_sim [s]     t [Myr]  Pc [dyn/cm2]        Tc [K]     R/R_sun     L/L_sun   T_eff [K]        P_phot     X_c(H1)    Y_c(He4)
  40    2.0000e+14    6.6750e+15    211.5019    2.0971e+17    1.4570e+07      0.4695      0.5090      7115.2    4.1694e+04    0.673872    0.075973
  41    2.0000e+14    6.8750e+15    217.8390    1.9984e+17    1.4377e+07      0.4789      0.5220      7089.9    4.1288e+04    0.673010    0.076188
  42    2.0000e+14    7.0750e+15    224.1762    2.0370e+17    1.4579e+07      0.4622      0.5098      7173.5    4.0934e+04    0.672309    0.076362
  43    2.0000e+14    7.2750e+15    230.5133    2.0861e+17    1.4537e+07      0.4749      0.5264      7134.2    4.0518e+04    0.671456    0.076575
  44    2.0000e+14    7.4750e+15    236.8504    2.1588e+17    1.4641e+07      0.4740      0.5294      7151.4    4.0152e+04    0.670620    0.076784
  45    2.0000e+14    7.6750e+15    243.1876    2.1625e+17    1.4654e+07      0.4735      0.5326      7165.5    3.9821e+04    0.669764    0.076997
  46    2.0000e+14    7.8750e+15    249.5247    2.1279e+17    1.4683e+07      0.4651      0.5276      7213.2    3.9511e+04    0.668976    0.077194
  47    2.0000e+14    8.0750e+15    255.8619    2.0989e+17    1.4721e+07      0.4575      0.5234      7258.7    3.9187e+04    0.668186    0.077392
  48    2.0000e+14    8.2750e+15    262.1990    2.1549e+17    1.4706e+07      0.4674      0.5372      7228.2    3.8851e+04    0.667218    0.077634
  49    2.0000e+14    8.4750e+15    268.5361    2.1684e+17    1.4711e+07      0.4696      0.5432      7231.3    3.8526e+04    0.666277    0.077869
  50    2.0000e+14    8.6750e+15    274.8733    2.2165e+17    1.4725e+07      0.4779      0.5552      7207.0    3.8230e+04    0.665478    0.078069
  51    2.0000e+14    8.8750e+15    281.2104    2.1477e+17    1.4707e+07      0.4685      0.5478      7254.8    3.8035e+04    0.664672    0.078270
  52    2.0000e+14    9.0750e+15    287.5475    2.2710e+17    1.4827e+07      0.4735      0.5562      7244.2    3.7762e+04    0.663747    0.078502
  53    2.0000e+14    9.2750e+15    293.8847    2.2807e+17    1.4814e+07      0.4790      0.5651      7230.6    3.7506e+04    0.662493    0.078815
  54    2.0000e+14    9.4750e+15    300.2218    2.2139e+17    1.4735e+07      0.4791      0.5685      7241.2    3.7234e+04    0.661614    0.079036
  55    2.0000e+14    9.6750e+15    306.5589    2.3596e+17    1.4856e+07      0.4995      0.5926      7165.3    3.7014e+04    0.660800    0.079239
  56    2.0000e+14    9.8750e+15    312.8961    2.3651e+17    1.4867e+07      0.5004      0.5963      7170.2    3.6802e+04    0.659768    0.079498
  57    2.0000e+14    1.0075e+16    319.2332    2.3701e+17    1.4881e+07      0.4995      0.5987      7183.8    3.6554e+04    0.658844    0.079729
  58    2.0000e+14    1.0275e+16    325.5703    2.3622e+17    1.4865e+07      0.5052      0.6074      7169.4    3.6346e+04    0.657845    0.079980
  59    2.0000e+14    1.0475e+16    331.9075    2.3058e+17    1.4826e+07      0.4928      0.5975      7228.8    3.6124e+04    0.656937    0.080207
  60    2.0000e+14    1.0675e+16    338.2446    2.2646e+17    1.4786e+07      0.4902      0.5977      7248.8    3.5902e+04    0.656074    0.080424
  61    2.0000e+14    1.0875e+16    344.5817    2.3455e+17    1.4875e+07      0.4975      0.6082      7226.9    3.5709e+04    0.655093    0.080669
  62    2.0000e+14    1.1075e+16    350.9189    2.3436e+17    1.4899e+07      0.4899      0.6026      7265.7    3.5524e+04    0.653953    0.080955
  63    2.0000e+14    1.1275e+16    357.2560    2.3485e+17    1.4914e+07      0.4883      0.6037      7281.0    3.5320e+04    0.652936    0.081210
  64    2.0000e+14    1.1475e+16    363.5932    2.2781e+17    1.4822e+07      0.4906      0.6092      7280.5    3.5108e+04    0.651974    0.081451
  65    2.0000e+14    1.1675e+16    369.9303    2.3159e+17    1.4948e+07      0.4728      0.5915      7361.4    3.4961e+04    0.651143    0.081660
  66    2.0000e+14    1.1875e+16    376.2674    2.3747e+17    1.4976e+07      0.4840      0.6065      7321.4    3.4787e+04    0.649869    0.081979
  67    2.0000e+14    1.2075e+16    382.6046    2.4301e+17    1.5019e+07      0.4953      0.6210      7280.6    3.4649e+04    0.648606    0.082296
  68    2.0000e+14    1.2275e+16    388.9417    2.4113e+17    1.4999e+07      0.4950      0.6230      7288.9    3.4488e+04    0.647614    0.082545
  69    2.0000e+14    1.2475e+16    395.2788    2.4098e+17    1.5005e+07      0.4935      0.6233      7300.3    3.4362e+04    0.646390    0.082852
  70    2.0000e+14    1.2675e+16    401.6160    2.4129e+17    1.5008e+07      0.4952      0.6271      7298.8    3.4235e+04    0.645227    0.083144
  71    2.0000e+14    1.2875e+16    407.9531    2.4386e+17    1.5037e+07      0.4993      0.6337      7288.0    3.4100e+04    0.644241    0.083392
  72    2.0000e+14    1.3075e+16    414.2902    2.2914e+17    1.5045e+07      0.4567      0.5852      7470.5    3.4072e+04    0.642999    0.083703
  73    2.0000e+14    1.3275e+16    420.6274    2.4128e+17    1.5064e+07      0.4791      0.6143      7382.2    3.3866e+04    0.642085    0.083933
  74    2.0000e+14    1.3475e+16    426.9645    2.2913e+17    1.4974e+07      0.4682      0.6049      7439.3    3.3636e+04    0.640954    0.084217
  75    2.0000e+14    1.3675e+16    433.3016    2.2837e+17    1.5035e+07      0.4581      0.5943      7487.8    3.3545e+04    0.640062    0.084441
  76    2.0000e+14    1.3875e+16    439.6388    2.2412e+17    1.5049e+07      0.4519      0.5896      7524.0    3.3354e+04    0.638675    0.084789
  77    2.0000e+14    1.4075e+16    445.9759    2.2090e+17    1.4996e+07      0.4541      0.5953      7524.2    3.3135e+04    0.637859    0.084995
  78    2.0000e+14    1.4275e+16    452.3131    2.0997e+17    1.5195e+07      0.4262      0.5631      7658.8    3.2999e+04    0.636895    0.085237
  79    2.0000e+14    1.4475e+16    458.6502    2.0737e+17    1.5185e+07      0.4259      0.5638      7664.2    3.2916e+04    0.636076    0.085443
  80    2.0000e+14    1.4675e+16    464.9873    2.1998e+17    1.5106e+07      0.4410      0.5843      7599.1    3.2793e+04    0.635292    0.085641
  81    2.0000e+14    1.4875e+16    471.3245    2.2055e+17    1.5125e+07      0.4417      0.5866      7601.0    3.2687e+04    0.634375    0.085872
  82    2.0000e+14    1.5075e+16    477.6616    2.2423e+17    1.5139e+07      0.4438      0.5911      7597.4    3.2558e+04    0.633464    0.086101
  83    2.0000e+14    1.5275e+16    483.9987    2.4433e+17    1.5231e+07      0.4600      0.6132      7530.8    3.2420e+04    0.632653    0.086305
  84    2.0000e+14    1.5475e+16    490.3359    2.0866e+17    1.5236e+07      0.4248      0.5695      7693.2    3.2406e+04    0.631721    0.086540
  85    2.0000e+14    1.5675e+16    496.6730    2.3431e+17    1.5170e+07      0.4533      0.6083      7571.0    3.2198e+04    0.630954    0.086734
  86    2.0000e+14    1.5875e+16    503.0101    2.3384e+17    1.5180e+07      0.4515      0.6069      7582.1    3.2137e+04    0.630061    0.086958
  87    2.0000e+14    1.6075e+16    509.3473    2.4276e+17    1.5177e+07      0.4683      0.6296      7513.1    3.2020e+04    0.629208    0.087174
  88    2.0000e+14    1.6275e+16    515.6844    2.3866e+17    1.5226e+07      0.4533      0.6117      7581.9    3.1970e+04    0.628092    0.087454
  89    2.0000e+14    1.6475e+16    522.0215    2.3599e+17    1.5199e+07      0.4534      0.6131      7585.2    3.1891e+04    0.627213    0.087676
  90    2.0000e+14    1.6675e+16    528.3587    2.2981e+17    1.5216e+07      0.4440      0.6017      7629.0    3.1862e+04    0.626144    0.087945
  91    2.0000e+14    1.6875e+16    534.6958    2.4037e+17    1.5229e+07      0.4558      0.6177      7579.0    3.1790e+04    0.625317    0.088153
  92    2.0000e+14    1.7075e+16    541.0330    2.4603e+17    1.5208e+07      0.4720      0.6393      7512.1    3.1702e+04    0.624436    0.088375
  93    2.0000e+14    1.7275e+16    547.3701    2.2503e+17    1.5229e+07      0.4397      0.6001      7661.2    3.1605e+04    0.623542    0.088601
